"","name","class","mass","fall_found","year","lat","long","continent","country","iso3","masscategory"
"1","chelyabinsk","ll",1e+05,"Fell",2013,54.81667,61.11667,"Europe","Russia","RUS","greater than 100g"
"32","stewart valley","h",130,"Found",2012,36.235,-116.18358,"North America","United States of America","USA","greater than 100g"
"33","sutters mill","c",992.5,"Fell",2012,38.80389,-120.90806,"North America","United States of America","USA","greater than 100g"
"34","ksar ghilane","l",50.1,"Found",2012,32.806,9.833,"Africa","Tunisia","TUN","10g to 100g"
"35","ksar ghilane","l",25.6,"Found",2012,32.891,9.913,"Africa","Tunisia","TUN","10g to 100g"
"63","johannesburg","h",63,"Found",2012,35.37788,-117.63728,"North America","United States of America","USA","10g to 100g"
"79","battle mountain","l",2900,"Fell",2012,40.66813,-117.18913,"North America","United States of America","USA","greater than 100g"
"105","northwest africa","eucrite",788.4,"Found",2012,22.94781,-13.38527,"Africa","Western Sahara","ESH","greater than 100g"
"124","tupelo","el",280,"Found",2012,34.24216,-88.77594,"North America","United States of America","USA","greater than 100g"
"201","catalina","cr",5.2,"Found",2012,-25.23333,-69.71667,"South America","Chile","CHL","1g to 10g"
"228","los vientos","h",12110,"Found",2012,-24.68333,-69.76667,"South America","Chile","CHL","greater than 100g"
"240","jiddat al harasis","ll",212,"Found",2012,19.77278,56.38982,"Asia","Oman","OMN","greater than 100g"
"241","rosamond","ll",11.1,"Found",2012,34.82793,-118.1464,"North America","United States of America","USA","10g to 100g"
"244","mandalay spring","l",2854,"Found",2012,40.89201,-118.55319,"North America","United States of America","USA","greater than 100g"
"245","antelope","h",754,"Found",2012,40.90183,-118.54465,"North America","United States of America","USA","greater than 100g"
"314","sotmany","l",1066,"Fell",2011,54.00883,22.005,"Europe","Poland","POL","greater than 100g"
"333","jiddat al harasis","ureilite",25.3,"Found",2011,19.00756,55.17469,"Asia","Oman","OMN","10g to 100g"
"334","northwest africa","lunar",208,"Found",2011,24.64283,-14.68783,"Africa","Morocco","MAR","greater than 100g"
"335","thika","l",14200,"Fell",2011,-1.00278,37.15028,"Africa","Kenya","KEN","greater than 100g"
"346","ksar ghilane","h",26,"Found",2011,32.80628,9.83767,"Africa","Tunisia","TUN","10g to 100g"
"347","ksar ghilane","h",5381,"Found",2011,32.75832,9.8593,"Africa","Tunisia","TUN","greater than 100g"
"348","ksar ghilane","h",295,"Found",2011,32.76107,9.86632,"Africa","Tunisia","TUN","greater than 100g"
"349","ksar ghilane","h",173,"Found",2011,32.76277,9.86542,"Africa","Tunisia","TUN","greater than 100g"
"350","powell peak","h",42.8,"Found",2011,34.68222,-114.33046,"North America","United States of America","USA","10g to 100g"
"351","northwest africa","martian",8000,"Found",2011,28.002467,-11.131583,"Africa","Morocco","MAR","greater than 100g"
"352","el mirage dry lake","ll",271,"Found",2011,34.65783,-117.59892,"North America","United States of America","USA","greater than 100g"
"367","los vientos","h",25450,"Found",2011,-24.68333,-69.76667,"South America","Chile","CHL","greater than 100g"
"368","los vientos","h",29300,"Found",2011,-24.68333,-69.76667,"South America","Chile","CHL","greater than 100g"
"417","yelland","l",4.5,"Found",2011,39.55801,-114.42715,"North America","United States of America","USA","1g to 10g"
"420","paposo","l",2407,"Found",2011,-25,-70.46667,"South America","Chile","CHL","greater than 100g"
"437","frontier mountain","h",2.7,"Found",2011,-72.9529,160.47965,"Antarctica","Antarctica","ATA","1g to 10g"
"438","frontier mountain","h",3.5,"Found",2011,-72.95215,160.50155,"Antarctica","Antarctica","ATA","1g to 10g"
"439","frontier mountain","h",2.6,"Found",2011,-72.95205,160.4872,"Antarctica","Antarctica","ATA","1g to 10g"
"440","frontier mountain","h",4.3,"Found",2011,-72.9523,160.5038,"Antarctica","Antarctica","ATA","1g to 10g"
"441","frontier mountain","h",3.9,"Found",2011,-72.95202,160.50618,"Antarctica","Antarctica","ATA","1g to 10g"
"442","frontier mountain","h",4,"Found",2011,-72.95202,160.50618,"Antarctica","Antarctica","ATA","1g to 10g"
"443","frontier mountain","h",2.5,"Found",2011,-72.9519,160.51957,"Antarctica","Antarctica","ATA","1g to 10g"
"444","frontier mountain","h",0.4,"Found",2011,-72.95235,160.48365,"Antarctica","Antarctica","ATA","less than 1g"
"445","frontier mountain","l",0.6,"Found",2011,-72.9505,160.4636,"Antarctica","Antarctica","ATA","less than 1g"
"446","frontier mountain","l",1.9,"Found",2011,-72.95163,160.45017,"Antarctica","Antarctica","ATA","1g to 10g"
"447","frontier mountain","h",3.9,"Found",2011,-72.95212,160.46458,"Antarctica","Antarctica","ATA","1g to 10g"
"448","frontier mountain","h",2.1,"Found",2011,-72.95212,160.46458,"Antarctica","Antarctica","ATA","1g to 10g"
"449","frontier mountain","h",2.5,"Found",2011,-72.96663,160.52762,"Antarctica","Antarctica","ATA","1g to 10g"
"450","frontier mountain","h",3.5,"Found",2011,-72.96663,160.52762,"Antarctica","Antarctica","ATA","1g to 10g"
"451","frontier mountain","l",0.3,"Found",2011,-72.9524,160.5033,"Antarctica","Antarctica","ATA","less than 1g"
"452","frontier mountain","h",1,"Found",2011,-72.95058,160.51718,"Antarctica","Antarctica","ATA","less than 1g"
"453","frontier mountain","h",4.7,"Found",2011,-72.95195,160.50757,"Antarctica","Antarctica","ATA","1g to 10g"
"454","frontier mountain","h",2.4,"Found",2011,-72.95195,160.50757,"Antarctica","Antarctica","ATA","1g to 10g"
"455","frontier mountain","h",1.2,"Found",2011,-72.95145,160.51087,"Antarctica","Antarctica","ATA","1g to 10g"
"456","frontier mountain","h",1.5,"Found",2011,-72.95158,160.46172,"Antarctica","Antarctica","ATA","1g to 10g"
"457","frontier mountain","h",0.6,"Found",2011,-72.95193,160.4563,"Antarctica","Antarctica","ATA","less than 1g"
"458","frontier mountain","l",4.4,"Found",2011,-72.9543,160.42857,"Antarctica","Antarctica","ATA","1g to 10g"
"459","frontier mountain","h",1.8,"Found",2011,-72.95305,160.45358,"Antarctica","Antarctica","ATA","1g to 10g"
"460","frontier mountain","h",2.4,"Found",2011,-72.95293,160.45298,"Antarctica","Antarctica","ATA","1g to 10g"
"461","tissint","martian",7000,"Fell",2011,29.48195,-7.61123,"Africa","Morocco","MAR","greater than 100g"
"468","frontier mountain","l",2.9,"Found",2011,-72.95268,160.48213,"Antarctica","Antarctica","ATA","1g to 10g"
"469","frontier mountain","h",0.9,"Found",2011,-72.95243,160.49085,"Antarctica","Antarctica","ATA","less than 1g"
"470","frontier mountain","h",15.2,"Found",2011,-72.96418,160.51073,"Antarctica","Antarctica","ATA","10g to 100g"
"471","frontier mountain","h",3,"Found",2011,-72.95183,160.50678,"Antarctica","Antarctica","ATA","1g to 10g"
"472","frontier mountain","l",4.8,"Found",2011,-72.9524,160.46983,"Antarctica","Antarctica","ATA","1g to 10g"
"473","frontier mountain","l",2.1,"Found",2011,-72.96313,160.49992,"Antarctica","Antarctica","ATA","1g to 10g"
"474","beneov a","ll",9.72,"Found",2011,49.76667,14.63333,"Europe","Czech Republic","CZE","1g to 10g"
"475","beneov b","h",1.54,"Found",2011,49.76667,14.63333,"Europe","Czech Republic","CZE","1g to 10g"
"483","frontier mountain","ureilite",13.1,"Found",2011,-72.95077,160.4584,"Antarctica","Antarctica","ATA","10g to 100g"
"484","frontier mountain","ureilite",11.4,"Found",2011,-72.9533,160.44603,"Antarctica","Antarctica","ATA","10g to 100g"
"485","frontier mountain","ll",5.9,"Found",2011,-72.95128,160.51542,"Antarctica","Antarctica","ATA","1g to 10g"
"486","frontier mountain","ll",7.7,"Found",2011,-72.95285,160.48508,"Antarctica","Antarctica","ATA","1g to 10g"
"487","frontier mountain","ll",2.1,"Found",2011,-72.95283,160.48513,"Antarctica","Antarctica","ATA","1g to 10g"
"488","frontier mountain","ll",1.3,"Found",2011,-72.95137,160.46503,"Antarctica","Antarctica","ATA","1g to 10g"
"495","biduna blowhole","l",13,"Found",2011,-31.03297,131.28547,"Australia","Australia","AUS","10g to 100g"
"496","biduna blowhole","l",0.4,"Found",2011,-31.01964,131.30394,"Australia","Australia","AUS","less than 1g"
"497","omalley","l",4.6,"Found",2011,-30.99311,131.33253,"Australia","Australia","AUS","1g to 10g"
"498","omalley","h",11.1,"Found",2011,-30.98622,131.33211,"Australia","Australia","AUS","10g to 100g"
"499","omalley","ll",19,"Found",2011,-30.62472,131.47064,"Australia","Australia","AUS","10g to 100g"
"500","omalley","h",0.7,"Found",2011,-30.65364,131.47389,"Australia","Australia","AUS","less than 1g"
"501","omalley","h",2.3,"Found",2011,-30.657,131.47814,"Australia","Australia","AUS","1g to 10g"
"502","omalley","h",24.3,"Found",2011,-30.69047,131.47353,"Australia","Australia","AUS","10g to 100g"
"503","omalley","l",3.4,"Found",2011,-30.75806,131.44803,"Australia","Australia","AUS","1g to 10g"
"504","omalley","h",8.4,"Found",2011,-30.93383,131.36169,"Australia","Australia","AUS","1g to 10g"
"505","omalley","l",52.9,"Found",2011,-30.93417,131.36111,"Australia","Australia","AUS","10g to 100g"
"506","omalley","l",33.6,"Found",2011,-30.89344,131.39,"Australia","Australia","AUS","10g to 100g"
"507","omalley","l",14.1,"Found",2011,-30.89281,131.39142,"Australia","Australia","AUS","10g to 100g"
"508","omalley","l",7.3,"Found",2011,-30.88561,131.38197,"Australia","Australia","AUS","1g to 10g"
"509","omalley","h",9.4,"Found",2011,-30.88517,131.38011,"Australia","Australia","AUS","1g to 10g"
"510","omalley","l",63.9,"Found",2011,-30.53842,131.25525,"Australia","Australia","AUS","10g to 100g"
"511","omalley","h",17.5,"Found",2011,-30.54019,131.25508,"Australia","Australia","AUS","10g to 100g"
"512","omalley","l",4.9,"Found",2011,-30.54478,131.25928,"Australia","Australia","AUS","1g to 10g"
"513","omalley","h",105.2,"Found",2011,-30.98789,131.34067,"Australia","Australia","AUS","greater than 100g"
"514","omalley","l",786.3,"Found",2011,-30.98036,131.34456,"Australia","Australia","AUS","greater than 100g"
"521","griffith wash","l",93,"Found",2011,35.06639,-114.0975,"North America","United States of America","USA","10g to 100g"
"543","dhofar","l",122.2,"Found",2011,19.28967,54.55092,"Asia","Oman","OMN","greater than 100g"
"544","dhofar","h",11.8,"Found",2011,18.95108,54.51506,"Asia","Oman","OMN","10g to 100g"
"545","dhofar","h",48.5,"Found",2011,18.91567,54.49519,"Asia","Oman","OMN","10g to 100g"
"546","dhofar","l",66.9,"Found",2011,18.93672,54.476,"Asia","Oman","OMN","10g to 100g"
"552","pingrup","h",1213,"Found",2011,-33.58316,118.65662,"Australia","Australia","AUS","greater than 100g"
"553","sayh al uhaymir","l",154,"Found",2011,21.10707,57.04363,"Asia","Oman","OMN","greater than 100g"
"554","sayh al uhaymir","l",34,"Found",2011,21.0597,57.27632,"Asia","Oman","OMN","10g to 100g"
"555","sayh al uhaymir","l",120,"Found",2011,21.05918,57.2762,"Asia","Oman","OMN","greater than 100g"
"556","sayh al uhaymir","h",3298,"Found",2011,20.76578,57.28332,"Asia","Oman","OMN","greater than 100g"
"557","sayh al uhaymir","h",2850,"Found",2011,20.51228,57.28327,"Asia","Oman","OMN","greater than 100g"
"558","sayh al uhaymir","l",3404,"Found",2011,20.51182,57.28693,"Asia","Oman","OMN","greater than 100g"
"559","sayh al uhaymir","h",670,"Found",2011,20.38848,57.00298,"Asia","Oman","OMN","greater than 100g"
"560","jiddat al harasis","h",80,"Found",2011,19.97092,56.4421,"Asia","Oman","OMN","10g to 100g"
"561","ramlat as sahmah","l",80,"Found",2011,20.31322,56.48333,"Asia","Oman","OMN","10g to 100g"
"562","ramlat as sahmah","h",263,"Found",2011,20.33245,56.47362,"Asia","Oman","OMN","greater than 100g"
"563","jiddat al harasis","l",56,"Found",2011,19.82982,56.4428,"Asia","Oman","OMN","10g to 100g"
"564","jiddat al harasis","l",1225,"Found",2011,19.65282,55.74852,"Asia","Oman","OMN","greater than 100g"
"565","dhofar","h",444,"Found",2011,19.13703,54.82478,"Asia","Oman","OMN","greater than 100g"
"566","dhofar","ll",262,"Found",2011,19.17098,54.69008,"Asia","Oman","OMN","greater than 100g"
"567","dhofar","l",143,"Found",2011,19.04562,54.58178,"Asia","Oman","OMN","greater than 100g"
"568","dhofar","h",930,"Found",2011,19.05822,54.57192,"Asia","Oman","OMN","greater than 100g"
"569","dhofar","l",2170,"Found",2011,18.99227,54.47117,"Asia","Oman","OMN","greater than 100g"
"570","dhofar","l",800,"Found",2011,18.72397,54.5406,"Asia","Oman","OMN","greater than 100g"
"571","dhofar","h",2724,"Found",2011,18.5979,54.45062,"Asia","Oman","OMN","greater than 100g"
"572","dhofar","l",50000,"Found",2011,18.67877,54.2876,"Asia","Oman","OMN","greater than 100g"
