"","text","value","text1","text2","text3"
"15","Acfer",394,"Acfer"," "," "
"35","Africa",1909,"Northwest Africa","Northeast Africa"," "
"43","Aguemour",17,"Aguemour"," "," "
"80","Alexandra",3443,"Queen Alexandra Range"," "," "
"92","Allan",1752,"Allan Hills A","Allan Hills"," "
"144","Arab",28,"United Arab Emirates"," "," "
"185","Asuka",1509,"Asuka"," "," "
"189","Atchane",17,"El Atchane"," "," "
"271","Bates",15,"Bates Nunataks","Bates Nunataks A"," "
"351","Bir",12,"Bir Zar","Bir Hadi","Bir Rebaa"
"382","Bluewing",17,"Bluewing"," "," "
"461","Buckley",29,"Buckley Island"," "," "
"491","Butte",10,"Miller Butte","Coon Butte","Fremont Butte"
"511","Caleta",19,"Caleta el Cobre"," "," "
"520","Camel",53,"Camel Donga"," "," "
"521","Camp",28,"Sleeper Camp","Camp Creek","Hart Camp"
"569","Catalina",33,"Catalina"," "," "
"648","City",16,"Canon City","Canyon City","Chihuahua City"
"660","Cliff",1869,"Lewis Cliff"," "," "
"668","Cobre",19,"Caleta el Cobre"," "," "
"698","Cook",12,"Cook"," "," "
"729","County",169,"Roosevelt County","Lea County","Ness County"
"733","Coyote",53,"Coyote Dry Lake","Coyote Mountains","Coyote Spring"
"741","Creek",49,"Aggie Creek","Ash Creek","Bear Creek"
"758","Cuddeback",20,"Cuddeback Dry Lake"," "," "
"783","Dar",1045,"Dar al Gani"," "," "
"784","Daraj",44,"Daraj"," "," "
"797","Deakin",10,"Deakin"," "," "
"804","del",11,"Campo del Cielo","Capilla del Monte","Cerro del Inca"
"823","Derrick",26,"Derrick Peak A","Derrick Peak"," "
"833","Dhofar",1386,"Dhofar"," "," "
"863","Dominion",707,"Dominion Range","Old Dominion Mine"," "
"865","Donga",57,"Camel Donga","Big Rock Donga","Billygoat Donga"
"886","Draw",13,"Blackwater Draw","Falsey Draw","Lost Draw"
"892","Dry",130,"Coyote Dry Lake","Cuddeback Dry Lake","Red Dry Lake"
"942","Elephant",2188,"Elephant Moraine","Elephant Moraine A","White Elephant"
"963","Emirates",28,"United Arab Emirates"," "," "
"981","Escarpment",631,"Pecora Escarpment"," "," "
"1051","Forrest",43,"Forrest","Forrest Lakes","North Forrest"
"1076","Frontier",782,"Frontier Mountain"," "," "
"1096","Gani",1046,"Dar al Gani","Dor el Gani"," "
"1115","Geologists",32,"Geologists Range"," "," "
"1121","Ghilane",11,"Ksar Ghilane"," "," "
"1134","Glacier",19,"David Glacier","MacKay Glacier","Scott Glacier"
"1179","Graves",238,"Graves Nunataks"," "," "
"1181","Great",31,"Great Sand Sea","Great Bear Lake","Great Bend"
"1197","Grosvenor",185,"Grosvenor Mountains"," "," "
"1198","Grove",2496,"Grove Mountains","Locust Grove","Willow Grove"
"1225","Gunnadorah",11,"Gunnadorah"," "," "
"1251","Hammadah",339,"Hammadah al Hamra"," "," "
"1254","Hamra",339,"Hammadah al Hamra"," "," "
"1260","Harasis",619,"Jiddat al Harasis"," "," "
"1269","Harper",13,"Harper Dry Lake"," "," "
"1314","Hill",14,"Duel Hill","Broken Hill","Bunker Hill"
"1315","Hills",3150,"Meteorite Hills","Allan Hills A","Allan Hills"
"1352","Hughes",56,"Hughes"," "," "
"1359","Huqf",32,"Al Huqf"," "," "
"1360","Huwaysah",17,"Al Huwaysah"," "," "
"1365","Icefield",272,"LaPaz Icefield"," "," "
"1378","Ilafegh",17,"Ilafegh"," "," "
"1407","iron",19,"AdzhiBogdo iron","alGhanim iron","Brownfield iron"
"1415","Island",35,"Buckley Island","Dyarrl Island","Ella Island"
"1454","Jiddat",621,"Jiddat al Harasis","Jiddat Arkad"," "
"1462","Johannessen",20,"Johannessen Nunataks"," "," "
"1473","Juan",67,"San Juan","San Juan Capistrano"," "
"1647","Ksar",12,"Ksar Ghilane","Ksar el Hajoui"," "
"1683","Lahmada",18,"Lahmada"," "," "
"1688","Lake",165,"Coyote Dry Lake","Cuddeback Dry Lake","Red Dry Lake"
"1689","Lakes",17,"Menindee Lakes","Carlisle Lakes","Yarle Lakes"
"1709","LaPaz",272,"LaPaz Icefield"," "," "
"1711","Larkman",169,"Larkman Nunatak"," "," "
"1747","Lewis",1869,"Lewis Cliff"," "," "
"1784","Lonewolf",10,"Lonewolf Nunataks"," "," "
"1797","Los",30,"Los Vientos","Los Cerrillos","Los Lunas"
"1808","Lucerne",63,"Lucerne Valley"," "," "
"1831","MacAlpine",263,"MacAlpine Hills"," "," "
"1925","Mdano",178,"El Mdano"," "," "
"1930","Mejillones",15,"Pampa de Mejillones","Mejillones"," "
"1952","Meteorite",1129,"Meteorite Hills","Meteorite Hills A"," "
"1982","Miller",1723,"Miller Range","Miller Butte","Miller Arkansas"
"2035","Moraine",2187,"Elephant Moraine","Elephant Moraine A"," "
"2063","Mount",58,"Mount Prestrud","Mount Wisting","Mount Howe"
"2064","Mountain",821,"Frontier Mountain","Tungsten Mountain","Bald Mountain"
"2065","Mountains",2786,"Grove Mountains","Grosvenor Mountains","Thiel Mountains"
"2070","Muckera",18,"Muckera"," "," "
"2082","Mundrabilla",21,"Mundrabilla"," "," "
"2155","New",17,"Mount Morris New York","New Almelo","New Baltimore"
"2195","Northwest",1908,"Northwest Africa"," "," "
"2211","Nunatak",172,"Larkman Nunatak","Beckett Nunatak","Outpost Nunatak A"
"2212","Nunataks",283,"Graves Nunataks","Johannessen Nunataks","Bates Nunataks"
"2258","OMalley",20,"OMalley"," "," "
"2331","Pampa",24,"Pampa de Mejillones","Pampa a","Pampa b"
"2359","Patuxent",181,"Patuxent Range"," "," "
"2370","Peak",168,"Reckling Peak A","Reckling Peak","Derrick Peak A"
"2373","Pecora",631,"Pecora Escarpment"," "," "
"2479","Prestrud",17,"Mount Prestrud"," "," "
"2517","Queen",3444,"Queen Alexandra Range","Zulu Queen"," "
"2543","Ramlat",282,"Ramlat as Sahmah","Ramlat al Wahibah"," "
"2552","Range",6112,"Queen Alexandra Range","Miller Range","Dominion Range"
"2565","Reckling",135,"Reckling Peak A","Reckling Peak"," "
"2566","Red",24,"Red Dry Lake","Red Canyon Lake","Red Deer Hill"
"2571","Reid",31,"Reid","North East Reid","North Reid"
"2604","River",20,"Belly River","Castray River","Diep River"
"2607","Roach",11,"Roach Dry Lake","Roach"," "
"2627","Roosevelt",111,"Roosevelt County","Roosevelt"," "
"2661","Sahmah",236,"Ramlat as Sahmah"," "," "
"2684","Samim",28,"Umm as Samim"," "," "
"2687","San",82,"San Juan","Borgo San Donino","San Angelo"
"2689","Sand",31,"Great Sand Sea","Sand Creek","Sand Draw"
