"","name","id","class","mass","fall_found","year","lat","long"
"1","Chelyabinsk",57165,"LL5",1e+05,"Fell",2013,54.81667,61.11667
"32","Stewart Valley ",55528,"H6",130,"Found",2012,36.235,-116.18358
"33","Sutters Mill",55529,"C",992.5,"Fell",2012,38.80389,-120.90806
"34","Ksar Ghilane ",55605,"L5",50.1,"Found",2012,32.806,9.833
"35","Ksar Ghilane ",55606,"L4",25.6,"Found",2012,32.891,9.913
"63","Johannesburg",55765,"H4",63,"Found",2012,35.37788,-117.63728
"79","Battle Mountain",56133,"L6",2900,"Fell",2012,40.66813,-117.18913
"105","Northwest Africa ",56314,"Eucrite-pmict",788.4,"Found",2012,22.94781,-13.38527
"124","Tupelo",56551,"EL6",280,"Found",2012,34.24216,-88.77594
"201","Catalina ",57173,"CR2",5.2,"Found",2012,-25.23333,-69.71667
"228","Los Vientos ",57338,"H~5",12110,"Found",2012,-24.68333,-69.76667
"240","Jiddat al Harasis ",57428,"LL6",212,"Found",2012,19.77278,56.38982
"241","Rosamond",57434,"LL3",11.1,"Found",2012,34.82793,-118.1464
"244","Mandalay Spring",57454,"L6",2854,"Found",2012,40.89201,-118.55319
"245","Antelope",57455,"H4",754,"Found",2012,40.90183,-118.54465
"314","Sotmany",53829,"L6",1066,"Fell",2011,54.00883,22.005
"333","Jiddat al Harasis ",53876,"Ureilite",25.3,"Found",2011,19.00756,55.17469
"334","Northwest Africa ",54490,"Lunar",208,"Found",2011,24.64283,-14.68783
"335","Thika",54493,"L6",14200,"Fell",2011,-1.00278,37.15028
"346","Ksar Ghilane ",54557,"H4",26,"Found",2011,32.80628,9.83767
"347","Ksar Ghilane ",54558,"H6",5381,"Found",2011,32.75832,9.8593
"348","Ksar Ghilane ",54559,"H5",295,"Found",2011,32.76107,9.86632
"349","Ksar Ghilane ",54560,"H6",173,"Found",2011,32.76277,9.86542
"350","Powell Peak ",54561,"H6",42.8,"Found",2011,34.68222,-114.33046
"351","Northwest Africa ",54565,"Martian (shergottite)",8000,"Found",2011,28.002467,-11.131583
"352","El Mirage Dry Lake ",54570,"LL6",271,"Found",2011,34.65783,-117.59892
"367","Los Vientos ",54618,"H5",25450,"Found",2011,-24.68333,-69.76667
"368","Los Vientos ",54619,"H5",29300,"Found",2011,-24.68333,-69.76667
"417","Yelland ",54765,"L6",4.5,"Found",2011,39.55801,-114.42715
"420","Paposo ",54773,"L/LL4",2407,"Found",2011,-25,-70.46667
"437","Frontier Mountain ",54799,"H6",2.7,"Found",2011,-72.9529,160.47965
"438","Frontier Mountain ",54800,"H4",3.5,"Found",2011,-72.95215,160.50155
"439","Frontier Mountain ",54801,"H6",2.6,"Found",2011,-72.95205,160.4872
"440","Frontier Mountain ",54802,"H4",4.3,"Found",2011,-72.9523,160.5038
"441","Frontier Mountain ",54803,"H5",3.9,"Found",2011,-72.95202,160.50618
"442","Frontier Mountain ",54804,"H5",4,"Found",2011,-72.95202,160.50618
"443","Frontier Mountain ",54805,"H6",2.5,"Found",2011,-72.9519,160.51957
"444","Frontier Mountain ",54806,"H6",0.4,"Found",2011,-72.95235,160.48365
"445","Frontier Mountain ",54807,"L6",0.6,"Found",2011,-72.9505,160.4636
"446","Frontier Mountain ",54808,"L6",1.9,"Found",2011,-72.95163,160.45017
"447","Frontier Mountain ",54809,"H6",3.9,"Found",2011,-72.95212,160.46458
"448","Frontier Mountain ",54810,"H6",2.1,"Found",2011,-72.95212,160.46458
"449","Frontier Mountain ",54811,"H4",2.5,"Found",2011,-72.96663,160.52762
"450","Frontier Mountain ",54812,"H6",3.5,"Found",2011,-72.96663,160.52762
"451","Frontier Mountain ",54813,"L6",0.3,"Found",2011,-72.9524,160.5033
"452","Frontier Mountain ",54814,"H5",1,"Found",2011,-72.95058,160.51718
"453","Frontier Mountain ",54815,"H6",4.7,"Found",2011,-72.95195,160.50757
